# timestamp_utc,2026-06-06T22:52:11Z
# op,aes_gcm_enc
# rsa_bits,3072
# aes_msg_size,1048576
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,1.464230
# per_op_median_ms,1.445324
# per_op_stddev_ms,0.039123
# per_op_ci95_low_ms,1.450230
# per_op_ci95_high_ms,1.478230
sample_idx,per_op_ms
0,1.436977
1,1.438745
2,1.438821
3,1.438996
4,1.439234
5,1.439672
6,1.440619
7,1.440942
8,1.441297
9,1.441302
10,1.442094
11,1.442472
12,1.442941
13,1.443461
14,1.444663
15,1.445324
16,1.445563
17,1.445942
18,1.448636
19,1.448713
20,1.450413
21,1.454622
22,1.466704
23,1.487189
24,1.518066
25,1.527642
26,1.532489
27,1.533057
28,1.533757
29,1.576537
