# timestamp_utc,2026-06-06T22:51:07Z
# op,aes_gcm_enc
# rsa_bits,3072
# aes_msg_size,16384
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.014649
# per_op_median_ms,0.014700
# per_op_stddev_ms,0.000329
# per_op_ci95_low_ms,0.014531
# per_op_ci95_high_ms,0.014766
sample_idx,per_op_ms
0,0.013986
1,0.014047
2,0.014187
3,0.014224
4,0.014281
5,0.014356
6,0.014359
7,0.014431
8,0.014433
9,0.014435
10,0.014460
11,0.014525
12,0.014690
13,0.014690
14,0.014694
15,0.014700
16,0.014705
17,0.014714
18,0.014779
19,0.014828
20,0.014857
21,0.014859
22,0.014887
23,0.014940
24,0.014953
25,0.014959
26,0.014973
27,0.015063
28,0.015114
29,0.015333
