# timestamp_utc,2026-06-06T22:46:53Z
# op,oaep_enc
# rsa_bits,3072
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.040974
# per_op_median_ms,0.040949
# per_op_stddev_ms,0.000221
# per_op_ci95_low_ms,0.040895
# per_op_ci95_high_ms,0.041053
sample_idx,per_op_ms
0,0.040541
1,0.040653
2,0.040667
3,0.040740
4,0.040747
5,0.040764
6,0.040806
7,0.040820
8,0.040840
9,0.040850
10,0.040851
11,0.040851
12,0.040933
13,0.040938
14,0.040943
15,0.040949
16,0.040985
17,0.041033
18,0.041079
19,0.041088
20,0.041102
21,0.041116
22,0.041140
23,0.041142
24,0.041167
25,0.041178
26,0.041187
27,0.041260
28,0.041284
29,0.041562
