# timestamp_utc,2026-06-06T22:48:41Z
# op,oaep_dec
# rsa_bits,3072
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,3.476275
# per_op_median_ms,3.424786
# per_op_stddev_ms,0.106053
# per_op_ci95_low_ms,3.438324
# per_op_ci95_high_ms,3.514225
sample_idx,per_op_ms
0,3.403684
1,3.405695
2,3.409865
3,3.410205
4,3.410542
5,3.411229
6,3.412510
7,3.412978
8,3.413105
9,3.414310
10,3.415449
11,3.415606
12,3.415688
13,3.417878
14,3.420977
15,3.424786
16,3.428183
17,3.432243
18,3.434739
19,3.435300
20,3.441721
21,3.451759
22,3.501835
23,3.503396
24,3.558437
25,3.678106
26,3.689109
27,3.696208
28,3.709836
29,3.712864
