# timestamp_utc,2026-06-06T22:51:02Z
# op,aes_gcm_enc
# rsa_bits,3072
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.002014
# per_op_median_ms,0.002008
# per_op_stddev_ms,0.000021
# per_op_ci95_low_ms,0.002007
# per_op_ci95_high_ms,0.002022
sample_idx,per_op_ms
0,0.001992
1,0.001995
2,0.001997
3,0.001999
4,0.001999
5,0.001999
6,0.002000
7,0.002001
8,0.002001
9,0.002005
10,0.002005
11,0.002006
12,0.002006
13,0.002007
14,0.002007
15,0.002008
16,0.002008
17,0.002009
18,0.002010
19,0.002010
20,0.002014
21,0.002016
22,0.002016
23,0.002022
24,0.002028
25,0.002036
26,0.002043
27,0.002056
28,0.002065
29,0.002073
