# timestamp_utc,2026-06-06T19:59:24Z
# op,keygen
# rsa_bits,3072
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,199.062236
# per_op_median_ms,197.823445
# per_op_stddev_ms,7.056818
# per_op_ci95_low_ms,196.536986
# per_op_ci95_high_ms,201.587486
sample_idx,per_op_ms
0,187.460428
1,189.496947
2,190.359466
3,191.382162
4,191.905157
5,193.503607
6,193.966411
7,194.111855
8,194.729319
9,194.828768
10,195.307291
11,195.420772
12,196.007150
13,196.350562
14,197.438161
15,197.823445
16,198.025386
17,199.037450
18,199.889678
19,200.581045
20,201.301825
21,201.386789
22,203.456624
23,206.533389
24,207.161558
25,208.498306
26,210.094092
27,211.111479
28,211.449761
29,213.248210
