# timestamp_utc,2026-06-06T23:02:43Z
# op,aes_gcm_dec
# rsa_bits,3072
# aes_msg_size,8388608
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,6.263181
# per_op_median_ms,6.353607
# per_op_stddev_ms,0.179369
# per_op_ci95_low_ms,6.198995
# per_op_ci95_high_ms,6.327367
sample_idx,per_op_ms
0,5.933375
1,5.935388
2,6.027101
3,6.031217
4,6.040247
5,6.041154
6,6.042488
7,6.056775
8,6.058753
9,6.144800
10,6.164416
11,6.334644
12,6.342221
13,6.343656
14,6.351031
15,6.353607
16,6.356980
17,6.357391
18,6.364859
19,6.366562
20,6.375000
21,6.376095
22,6.397385
23,6.400425
24,6.406173
25,6.406901
26,6.439113
27,6.473145
28,6.474958
29,6.499574
