# timestamp_utc,2026-06-06T22:51:20Z
# op,aes_gcm_enc
# rsa_bits,3072
# aes_msg_size,262144
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.345037
# per_op_median_ms,0.337819
# per_op_stddev_ms,0.012735
# per_op_ci95_low_ms,0.340480
# per_op_ci95_high_ms,0.349594
sample_idx,per_op_ms
0,0.334162
1,0.334292
2,0.334981
3,0.335290
4,0.335405
5,0.335623
6,0.335742
7,0.335857
8,0.336022
9,0.336269
10,0.336368
11,0.336578
12,0.336621
13,0.336959
14,0.337015
15,0.337819
16,0.338260
17,0.338350
18,0.338392
19,0.338452
20,0.348369
21,0.362968
22,0.363324
23,0.363453
24,0.363569
25,0.363688
26,0.363812
27,0.364019
28,0.364653
29,0.364803
