# timestamp_utc,2026-06-06T22:51:04Z
# op,aes_gcm_dec
# rsa_bits,3072
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.001999
# per_op_median_ms,0.001997
# per_op_stddev_ms,0.000014
# per_op_ci95_low_ms,0.001994
# per_op_ci95_high_ms,0.002004
sample_idx,per_op_ms
0,0.001982
1,0.001983
2,0.001983
3,0.001984
4,0.001985
5,0.001986
6,0.001988
7,0.001989
8,0.001991
9,0.001991
10,0.001992
11,0.001992
12,0.001993
13,0.001994
14,0.001996
15,0.001997
16,0.001998
17,0.001998
18,0.001998
19,0.001999
20,0.002000
21,0.002001
22,0.002002
23,0.002006
24,0.002007
25,0.002010
26,0.002019
27,0.002028
28,0.002032
29,0.002036
