# timestamp_utc,2026-05-19T07:55:06Z
# op,aes_gcm_dec
# rsa_bits,3072
# aes_msg_size,262144
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.105742
# per_op_median_ms,0.105810
# per_op_stddev_ms,0.002591
# per_op_ci95_low_ms,0.104815
# per_op_ci95_high_ms,0.106669
sample_idx,per_op_ms
0,0.098988
1,0.102253
2,0.102387
3,0.102839
4,0.103390
5,0.103494
6,0.103785
7,0.104215
8,0.104423
9,0.104450
10,0.104515
11,0.104543
12,0.105186
13,0.105614
14,0.105778
15,0.105810
16,0.106343
17,0.106383
18,0.106447
19,0.106587
20,0.107103
21,0.107140
22,0.107364
23,0.107601
24,0.107668
25,0.108466
26,0.108977
27,0.109348
28,0.110142
29,0.111028
