# timestamp_utc,2026-05-19T07:55:00Z
# op,aes_gcm_dec
# rsa_bits,3072
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.002293
# per_op_median_ms,0.002267
# per_op_stddev_ms,0.000233
# per_op_ci95_low_ms,0.002210
# per_op_ci95_high_ms,0.002377
sample_idx,per_op_ms
0,0.001952
1,0.001959
2,0.001973
3,0.002016
4,0.002081
5,0.002088
6,0.002089
7,0.002109
8,0.002135
9,0.002165
10,0.002205
11,0.002212
12,0.002231
13,0.002240
14,0.002262
15,0.002267
16,0.002301
17,0.002314
18,0.002346
19,0.002378
20,0.002382
21,0.002391
22,0.002407
23,0.002426
24,0.002427
25,0.002542
26,0.002563
27,0.002650
28,0.002815
29,0.002870
