# timestamp_utc,2026-05-18T20:12:23Z
# op,keygen
# rsa_bits,3072
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,203.767276
# per_op_median_ms,213.560068
# per_op_stddev_ms,20.765674
# per_op_ci95_low_ms,196.336375
# per_op_ci95_high_ms,211.198178
sample_idx,per_op_ms
0,168.438814
1,171.895199
2,172.396002
3,174.345430
4,174.603669
5,174.899834
6,177.329609
7,180.232555
8,181.045814
9,183.045570
10,206.369151
11,210.385646
12,211.051875
13,212.454754
14,212.897704
15,213.560068
16,213.937912
17,215.458475
18,216.472677
19,216.979526
20,219.679199
21,220.168085
22,220.910583
23,221.805563
24,222.230760
25,222.285425
26,222.451132
27,223.453888
28,223.497847
29,228.735530
