# timestamp_utc,2026-05-18T23:15:06Z
# op,oaep_enc
# rsa_bits,4096
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.035861
# per_op_median_ms,0.036249
# per_op_stddev_ms,0.000887
# per_op_ci95_low_ms,0.035543
# per_op_ci95_high_ms,0.036178
sample_idx,per_op_ms
0,0.033486
1,0.034239
2,0.034310
3,0.034604
4,0.034722
5,0.034762
6,0.035019
7,0.035201
8,0.035736
9,0.035761
10,0.035962
11,0.036024
12,0.036025
13,0.036208
14,0.036210
15,0.036249
16,0.036259
17,0.036315
18,0.036337
19,0.036450
20,0.036457
21,0.036485
22,0.036494
23,0.036499
24,0.036503
25,0.036647
26,0.036687
27,0.036703
28,0.036728
29,0.036745
