# timestamp_utc,2026-05-18T23:17:04Z
# op,oaep_dec
# rsa_bits,3072
# aes_msg_size,1024
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,3.897963
# per_op_median_ms,3.891229
# per_op_stddev_ms,0.126446
# per_op_ci95_low_ms,3.852715
# per_op_ci95_high_ms,3.943211
sample_idx,per_op_ms
0,3.535989
1,3.746727
2,3.776902
3,3.794965
4,3.795290
5,3.803463
6,3.810296
7,3.818548
8,3.822923
9,3.836282
10,3.844494
11,3.851414
12,3.853986
13,3.883914
14,3.889762
15,3.891229
16,3.909878
17,3.918262
18,3.926379
19,3.937854
20,3.938933
21,3.948747
22,3.977938
23,3.978606
24,3.978856
25,4.034872
26,4.039664
27,4.070582
28,4.143649
29,4.178498
