# timestamp_utc,2026-05-18T23:26:02Z
# op,aes_gcm
# rsa_bits,3072
# aes_msg_size,8388608
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,11.116855
# per_op_median_ms,10.498665
# per_op_stddev_ms,1.139745
# per_op_ci95_low_ms,10.709002
# per_op_ci95_high_ms,11.524707
sample_idx,per_op_ms
0,10.205416
1,10.263514
2,10.267428
3,10.280290
4,10.287205
5,10.298547
6,10.310186
7,10.311078
8,10.373820
9,10.392667
10,10.406436
11,10.410090
12,10.412529
13,10.456822
14,10.482023
15,10.498665
16,10.560824
17,10.561831
18,10.566664
19,10.606285
20,10.803668
21,11.415278
22,12.339079
23,12.359174
24,12.966646
25,12.989543
26,13.026199
27,13.124464
28,13.260405
29,13.268861
