# timestamp_utc,2026-05-19T07:55:02Z
# op,aes_gcm_dec
# rsa_bits,3072
# aes_msg_size,16384
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.008673
# per_op_median_ms,0.008742
# per_op_stddev_ms,0.000419
# per_op_ci95_low_ms,0.008523
# per_op_ci95_high_ms,0.008823
sample_idx,per_op_ms
0,0.007535
1,0.007829
2,0.008036
3,0.008055
4,0.008152
5,0.008386
6,0.008475
7,0.008476
8,0.008501
9,0.008613
10,0.008627
11,0.008630
12,0.008680
13,0.008713
14,0.008731
15,0.008742
16,0.008797
17,0.008857
18,0.008872
19,0.008908
20,0.008922
21,0.008935
22,0.008961
23,0.008972
24,0.009003
25,0.009007
26,0.009091
27,0.009111
28,0.009168
29,0.009404
