# timestamp_utc,2026-05-19T08:00:15Z
# op,aes_gcm_dec
# rsa_bits,3072
# aes_msg_size,8388608
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,9.386018
# per_op_median_ms,9.334272
# per_op_stddev_ms,0.840794
# per_op_ci95_low_ms,9.085144
# per_op_ci95_high_ms,9.686892
sample_idx,per_op_ms
0,8.253356
1,8.376860
2,8.481436
3,8.510857
4,8.538664
5,8.564010
6,8.566465
7,8.579506
8,8.610235
9,8.718386
10,8.765882
11,8.768220
12,8.889503
13,9.263752
14,9.312655
15,9.334272
16,9.539337
17,9.555617
18,9.619948
19,9.659567
20,9.697189
21,9.824541
22,9.992586
23,10.176638
24,10.327071
25,10.357505
26,10.434712
27,10.776790
28,11.016929
29,11.068042
