# timestamp_utc,2026-05-18T23:19:41Z
# op,aes_gcm
# rsa_bits,3072
# aes_msg_size,16384
# n_blocks,30
# block_size,1000
# total_ops,30000
# per_op_mean_ms,0.008245
# per_op_median_ms,0.008250
# per_op_stddev_ms,0.000446
# per_op_ci95_low_ms,0.008085
# per_op_ci95_high_ms,0.008404
sample_idx,per_op_ms
0,0.007299
1,0.007503
2,0.007576
3,0.007673
4,0.007776
5,0.007897
6,0.007978
7,0.008038
8,0.008051
9,0.008099
10,0.008115
11,0.008190
12,0.008191
13,0.008225
14,0.008231
15,0.008250
16,0.008278
17,0.008309
18,0.008311
19,0.008319
20,0.008319
21,0.008389
22,0.008403
23,0.008502
24,0.008660
25,0.008790
26,0.008836
27,0.008845
28,0.008955
29,0.009335
