op,algo,N,block,msg_size,round,us_per_op
verify,ecdsa-p384,30,1000,1024,0,602.899
verify,ecdsa-p384,30,1000,1024,1,601.979
verify,ecdsa-p384,30,1000,1024,2,611.843
verify,ecdsa-p384,30,1000,1024,3,670.89
verify,ecdsa-p384,30,1000,1024,4,715.556
verify,ecdsa-p384,30,1000,1024,5,685.886
verify,ecdsa-p384,30,1000,1024,6,775.117
verify,ecdsa-p384,30,1000,1024,7,762.124
verify,ecdsa-p384,30,1000,1024,8,798.212
verify,ecdsa-p384,30,1000,1024,9,683.493
verify,ecdsa-p384,30,1000,1024,10,690.204
verify,ecdsa-p384,30,1000,1024,11,655.427
verify,ecdsa-p384,30,1000,1024,12,820.182
verify,ecdsa-p384,30,1000,1024,13,878.675
verify,ecdsa-p384,30,1000,1024,14,815.977
verify,ecdsa-p384,30,1000,1024,15,864.989
verify,ecdsa-p384,30,1000,1024,16,860.897
verify,ecdsa-p384,30,1000,1024,17,764.953
verify,ecdsa-p384,30,1000,1024,18,852.084
verify,ecdsa-p384,30,1000,1024,19,727.102
verify,ecdsa-p384,30,1000,1024,20,724.877
verify,ecdsa-p384,30,1000,1024,21,756.681
verify,ecdsa-p384,30,1000,1024,22,730.104
verify,ecdsa-p384,30,1000,1024,23,752.816
verify,ecdsa-p384,30,1000,1024,24,744.842
verify,ecdsa-p384,30,1000,1024,25,697.039
verify,ecdsa-p384,30,1000,1024,26,772.53
verify,ecdsa-p384,30,1000,1024,27,756.329
verify,ecdsa-p384,30,1000,1024,28,787.639
verify,ecdsa-p384,30,1000,1024,29,696.199
# summary,mean,741.918,median,748.829,sd,75.1028,ci95_lo,715.043,ci95_hi,768.793
