op,bits,N,block,msg_size,hash,round,us_per_op
sign,3072,30,1000,8388608,sha256,0,7113.48
sign,3072,30,1000,8388608,sha256,1,7942.67
sign,3072,30,1000,8388608,sha256,2,8305.86
sign,3072,30,1000,8388608,sha256,3,7916.27
sign,3072,30,1000,8388608,sha256,4,8059.46
sign,3072,30,1000,8388608,sha256,5,8131.63
sign,3072,30,1000,8388608,sha256,6,7856.56
sign,3072,30,1000,8388608,sha256,7,7943.08
sign,3072,30,1000,8388608,sha256,8,8595.14
sign,3072,30,1000,8388608,sha256,9,8092.54
sign,3072,30,1000,8388608,sha256,10,8079.34
sign,3072,30,1000,8388608,sha256,11,7975.06
sign,3072,30,1000,8388608,sha256,12,7859.81
sign,3072,30,1000,8388608,sha256,13,8146.97
sign,3072,30,1000,8388608,sha256,14,7771.75
sign,3072,30,1000,8388608,sha256,15,7960.03
sign,3072,30,1000,8388608,sha256,16,8590.64
sign,3072,30,1000,8388608,sha256,17,8103.77
sign,3072,30,1000,8388608,sha256,18,7907.36
sign,3072,30,1000,8388608,sha256,19,8820.36
sign,3072,30,1000,8388608,sha256,20,8047.29
sign,3072,30,1000,8388608,sha256,21,8355.78
sign,3072,30,1000,8388608,sha256,22,8586.66
sign,3072,30,1000,8388608,sha256,23,8185.95
sign,3072,30,1000,8388608,sha256,24,8819.46
sign,3072,30,1000,8388608,sha256,25,7849.61
sign,3072,30,1000,8388608,sha256,26,7757.67
sign,3072,30,1000,8388608,sha256,27,8540.57
sign,3072,30,1000,8388608,sha256,28,7904.26
sign,3072,30,1000,8388608,sha256,29,7671.87
# summary,mean,8096.36,median,8053.37,sd,363.467,ci95_lo,7966.3,ci95_hi,8226.43
