op,bits,N,block,msg_size,hash,round,us_per_op
sign,3072,30,1000,16384,sha256,0,1790.26
sign,3072,30,1000,16384,sha256,1,3049.77
sign,3072,30,1000,16384,sha256,2,3081.93
sign,3072,30,1000,16384,sha256,3,3412.02
sign,3072,30,1000,16384,sha256,4,3309.74
sign,3072,30,1000,16384,sha256,5,2955.78
sign,3072,30,1000,16384,sha256,6,2918.49
sign,3072,30,1000,16384,sha256,7,2769.13
sign,3072,30,1000,16384,sha256,8,2948.75
sign,3072,30,1000,16384,sha256,9,2735.15
sign,3072,30,1000,16384,sha256,10,3406.19
sign,3072,30,1000,16384,sha256,11,3644.4
sign,3072,30,1000,16384,sha256,12,2568.52
sign,3072,30,1000,16384,sha256,13,2643.75
sign,3072,30,1000,16384,sha256,14,2544.05
sign,3072,30,1000,16384,sha256,15,2686.47
sign,3072,30,1000,16384,sha256,16,2986.4
sign,3072,30,1000,16384,sha256,17,3215.88
sign,3072,30,1000,16384,sha256,18,3246.49
sign,3072,30,1000,16384,sha256,19,3067.52
sign,3072,30,1000,16384,sha256,20,3518.78
sign,3072,30,1000,16384,sha256,21,2871.48
sign,3072,30,1000,16384,sha256,22,2875.84
sign,3072,30,1000,16384,sha256,23,2902.4
sign,3072,30,1000,16384,sha256,24,2892.56
sign,3072,30,1000,16384,sha256,25,3353.24
sign,3072,30,1000,16384,sha256,26,3003.61
sign,3072,30,1000,16384,sha256,27,2644.47
sign,3072,30,1000,16384,sha256,28,2983.46
sign,3072,30,1000,16384,sha256,29,2992.62
# summary,mean,2967.31,median,2969.62,sd,358.457,ci95_lo,2839.03,ci95_hi,3095.58
