op,algo,N,block,msg_size,round,us_per_op
sign,ecdsa-p384,30,1000,8388608,0,12936.1
sign,ecdsa-p384,30,1000,8388608,1,13053
sign,ecdsa-p384,30,1000,8388608,2,12786.3
sign,ecdsa-p384,30,1000,8388608,3,12727.7
sign,ecdsa-p384,30,1000,8388608,4,14196.3
sign,ecdsa-p384,30,1000,8388608,5,13078.7
sign,ecdsa-p384,30,1000,8388608,6,13358.9
sign,ecdsa-p384,30,1000,8388608,7,13220.9
sign,ecdsa-p384,30,1000,8388608,8,12800.7
sign,ecdsa-p384,30,1000,8388608,9,13764.4
sign,ecdsa-p384,30,1000,8388608,10,13252.3
sign,ecdsa-p384,30,1000,8388608,11,13345
sign,ecdsa-p384,30,1000,8388608,12,13391.6
sign,ecdsa-p384,30,1000,8388608,13,13218.8
sign,ecdsa-p384,30,1000,8388608,14,13869.8
sign,ecdsa-p384,30,1000,8388608,15,13163.4
sign,ecdsa-p384,30,1000,8388608,16,13793.2
sign,ecdsa-p384,30,1000,8388608,17,13225.4
sign,ecdsa-p384,30,1000,8388608,18,13119.9
sign,ecdsa-p384,30,1000,8388608,19,14222.5
sign,ecdsa-p384,30,1000,8388608,20,14469.4
sign,ecdsa-p384,30,1000,8388608,21,13248.3
sign,ecdsa-p384,30,1000,8388608,22,12639.9
sign,ecdsa-p384,30,1000,8388608,23,12864
sign,ecdsa-p384,30,1000,8388608,24,13048.4
sign,ecdsa-p384,30,1000,8388608,25,12451.9
sign,ecdsa-p384,30,1000,8388608,26,12809.6
sign,ecdsa-p384,30,1000,8388608,27,12881.7
sign,ecdsa-p384,30,1000,8388608,28,12488.9
sign,ecdsa-p384,30,1000,8388608,29,13641.2
# summary,mean,13235.6,median,13191.1,sd,506.879,ci95_lo,13054.2,ci95_hi,13417
