op,algo,N,block,msg_size,round,us_per_op
verify,ecdsa-p384,30,1000,8388608,0,12135.3
verify,ecdsa-p384,30,1000,8388608,1,12519.4
verify,ecdsa-p384,30,1000,8388608,2,12833.8
verify,ecdsa-p384,30,1000,8388608,3,13021.1
verify,ecdsa-p384,30,1000,8388608,4,13469.4
verify,ecdsa-p384,30,1000,8388608,5,12641.5
verify,ecdsa-p384,30,1000,8388608,6,12827.5
verify,ecdsa-p384,30,1000,8388608,7,12934.4
verify,ecdsa-p384,30,1000,8388608,8,12884.4
verify,ecdsa-p384,30,1000,8388608,9,13919.2
verify,ecdsa-p384,30,1000,8388608,10,12671.4
verify,ecdsa-p384,30,1000,8388608,11,12910.5
verify,ecdsa-p384,30,1000,8388608,12,13187.5
verify,ecdsa-p384,30,1000,8388608,13,12546.2
verify,ecdsa-p384,30,1000,8388608,14,13438.3
verify,ecdsa-p384,30,1000,8388608,15,14083.3
verify,ecdsa-p384,30,1000,8388608,16,12984
verify,ecdsa-p384,30,1000,8388608,17,12807.9
verify,ecdsa-p384,30,1000,8388608,18,13607.8
verify,ecdsa-p384,30,1000,8388608,19,13883
verify,ecdsa-p384,30,1000,8388608,20,13054.6
verify,ecdsa-p384,30,1000,8388608,21,12819.5
verify,ecdsa-p384,30,1000,8388608,22,12553.4
verify,ecdsa-p384,30,1000,8388608,23,12962.2
verify,ecdsa-p384,30,1000,8388608,24,13438.3
verify,ecdsa-p384,30,1000,8388608,25,12773.1
verify,ecdsa-p384,30,1000,8388608,26,12880.3
verify,ecdsa-p384,30,1000,8388608,27,12989.4
verify,ecdsa-p384,30,1000,8388608,28,13035.1
verify,ecdsa-p384,30,1000,8388608,29,13445.4
# summary,mean,13041.9,median,12948.3,sd,447.148,ci95_lo,12881.9,ci95_hi,13201.9
