op,algo,N,block,msg_size,round,us_per_op
verify,ecdsa-p256,30,1000,8388608,0,4246.02
verify,ecdsa-p256,30,1000,8388608,1,4194.75
verify,ecdsa-p256,30,1000,8388608,2,4186.01
verify,ecdsa-p256,30,1000,8388608,3,4257.81
verify,ecdsa-p256,30,1000,8388608,4,4235.66
verify,ecdsa-p256,30,1000,8388608,5,4225.83
verify,ecdsa-p256,30,1000,8388608,6,4220.93
verify,ecdsa-p256,30,1000,8388608,7,4220.11
verify,ecdsa-p256,30,1000,8388608,8,4124.21
verify,ecdsa-p256,30,1000,8388608,9,4117.08
verify,ecdsa-p256,30,1000,8388608,10,4121.71
verify,ecdsa-p256,30,1000,8388608,11,4106.96
verify,ecdsa-p256,30,1000,8388608,12,4075.31
verify,ecdsa-p256,30,1000,8388608,13,4090.27
verify,ecdsa-p256,30,1000,8388608,14,4093.36
verify,ecdsa-p256,30,1000,8388608,15,4085.46
verify,ecdsa-p256,30,1000,8388608,16,4083.93
verify,ecdsa-p256,30,1000,8388608,17,4074.18
verify,ecdsa-p256,30,1000,8388608,18,4099.59
verify,ecdsa-p256,30,1000,8388608,19,4277.76
verify,ecdsa-p256,30,1000,8388608,20,4160.76
verify,ecdsa-p256,30,1000,8388608,21,4071.28
verify,ecdsa-p256,30,1000,8388608,22,4098.84
verify,ecdsa-p256,30,1000,8388608,23,4120.05
verify,ecdsa-p256,30,1000,8388608,24,4099.78
verify,ecdsa-p256,30,1000,8388608,25,4081.3
verify,ecdsa-p256,30,1000,8388608,26,4083.04
verify,ecdsa-p256,30,1000,8388608,27,4056.3
verify,ecdsa-p256,30,1000,8388608,28,4062.4
verify,ecdsa-p256,30,1000,8388608,29,4073.9
# summary,mean,4134.82,median,4103.37,sd,67.9646,ci95_lo,4110.5,ci95_hi,4159.14
