op,bits,N,block,msg_size,hash,round,us_per_op
verify,3072,30,1000,16384,sha256,0,104.224
verify,3072,30,1000,16384,sha256,1,99.0876
verify,3072,30,1000,16384,sha256,2,99.7699
verify,3072,30,1000,16384,sha256,3,98.6518
verify,3072,30,1000,16384,sha256,4,98.7295
verify,3072,30,1000,16384,sha256,5,104.91
verify,3072,30,1000,16384,sha256,6,98.9337
verify,3072,30,1000,16384,sha256,7,99.1169
verify,3072,30,1000,16384,sha256,8,99.9741
verify,3072,30,1000,16384,sha256,9,101.194
verify,3072,30,1000,16384,sha256,10,103.945
verify,3072,30,1000,16384,sha256,11,99.5101
verify,3072,30,1000,16384,sha256,12,101.163
verify,3072,30,1000,16384,sha256,13,100.131
verify,3072,30,1000,16384,sha256,14,98.8929
verify,3072,30,1000,16384,sha256,15,104.31
verify,3072,30,1000,16384,sha256,16,100.168
verify,3072,30,1000,16384,sha256,17,101.325
verify,3072,30,1000,16384,sha256,18,99.3312
verify,3072,30,1000,16384,sha256,19,109.261
verify,3072,30,1000,16384,sha256,20,117.072
verify,3072,30,1000,16384,sha256,21,187.323
verify,3072,30,1000,16384,sha256,22,171.313
verify,3072,30,1000,16384,sha256,23,150.042
verify,3072,30,1000,16384,sha256,24,116.648
verify,3072,30,1000,16384,sha256,25,138.9
verify,3072,30,1000,16384,sha256,26,120.979
verify,3072,30,1000,16384,sha256,27,115.057
verify,3072,30,1000,16384,sha256,28,160
verify,3072,30,1000,16384,sha256,29,158.473
# summary,mean,115.281,median,102.635,sd,25.0187,ci95_lo,106.328,ci95_hi,124.234
