algo,N,block,msg_size,round,us_per_op
SHA3-256,30,1000,104857600,0,199223
SHA3-256,30,1000,104857600,1,199867
SHA3-256,30,1000,104857600,2,200063
SHA3-256,30,1000,104857600,3,200126
SHA3-256,30,1000,104857600,4,200191
SHA3-256,30,1000,104857600,5,200352
SHA3-256,30,1000,104857600,6,200654
SHA3-256,30,1000,104857600,7,200657
SHA3-256,30,1000,104857600,8,200695
SHA3-256,30,1000,104857600,9,200854
SHA3-256,30,1000,104857600,10,201095
SHA3-256,30,1000,104857600,11,201557
SHA3-256,30,1000,104857600,12,201636
SHA3-256,30,1000,104857600,13,201670
SHA3-256,30,1000,104857600,14,201719
SHA3-256,30,1000,104857600,15,201769
SHA3-256,30,1000,104857600,16,202215
SHA3-256,30,1000,104857600,17,202350
SHA3-256,30,1000,104857600,18,202825
SHA3-256,30,1000,104857600,19,203142
SHA3-256,30,1000,104857600,20,203499
SHA3-256,30,1000,104857600,21,204144
SHA3-256,30,1000,104857600,22,204198
SHA3-256,30,1000,104857600,23,204216
SHA3-256,30,1000,104857600,24,204449
SHA3-256,30,1000,104857600,25,204455
SHA3-256,30,1000,104857600,26,205425
SHA3-256,30,1000,104857600,27,206079
SHA3-256,30,1000,104857600,28,207702
SHA3-256,30,1000,104857600,29,207731
# summary,mean,202485,median,201769,sd,2281.61,ci95_lo,201669,ci95_hi,203302,throughput_MiBps,493.863
