algo,N,block,msg_size,round,us_per_op
SHA-256,30,1000,8388608,0,4602.13
SHA-256,30,1000,8388608,1,4631.21
SHA-256,30,1000,8388608,2,4690.54
SHA-256,30,1000,8388608,3,4757.85
SHA-256,30,1000,8388608,4,4796.03
SHA-256,30,1000,8388608,5,4963.6
SHA-256,30,1000,8388608,6,5002.61
SHA-256,30,1000,8388608,7,5080.92
SHA-256,30,1000,8388608,8,5182.25
SHA-256,30,1000,8388608,9,5250.89
SHA-256,30,1000,8388608,10,5271.72
SHA-256,30,1000,8388608,11,5280.39
SHA-256,30,1000,8388608,12,5298.86
SHA-256,30,1000,8388608,13,5303.27
SHA-256,30,1000,8388608,14,5313.4
SHA-256,30,1000,8388608,15,5357.81
SHA-256,30,1000,8388608,16,5383.21
SHA-256,30,1000,8388608,17,5386.29
SHA-256,30,1000,8388608,18,5386.61
SHA-256,30,1000,8388608,19,5462.43
SHA-256,30,1000,8388608,20,5470.37
SHA-256,30,1000,8388608,21,5483.02
SHA-256,30,1000,8388608,22,5540.43
SHA-256,30,1000,8388608,23,5566.65
SHA-256,30,1000,8388608,24,5593.35
SHA-256,30,1000,8388608,25,5617.49
SHA-256,30,1000,8388608,26,5622.39
SHA-256,30,1000,8388608,27,5648.73
SHA-256,30,1000,8388608,28,5691.27
SHA-256,30,1000,8388608,29,5719.08
# summary,mean,5278.49,median,5357.81,sd,326.486,ci95_lo,5161.66,ci95_hi,5395.32,throughput_MiBps,1515.58
