algo,N,block,msg_size,round,us_per_op
SHA3-256,30,1000,1048576,0,2032.23
SHA3-256,30,1000,1048576,1,2034.54
SHA3-256,30,1000,1048576,2,2044.17
SHA3-256,30,1000,1048576,3,2046.9
SHA3-256,30,1000,1048576,4,2057.19
SHA3-256,30,1000,1048576,5,2060.57
SHA3-256,30,1000,1048576,6,2061.88
SHA3-256,30,1000,1048576,7,2062.26
SHA3-256,30,1000,1048576,8,2063.42
SHA3-256,30,1000,1048576,9,2064.72
SHA3-256,30,1000,1048576,10,2066.81
SHA3-256,30,1000,1048576,11,2068.42
SHA3-256,30,1000,1048576,12,2071.48
SHA3-256,30,1000,1048576,13,2075.13
SHA3-256,30,1000,1048576,14,2075.33
SHA3-256,30,1000,1048576,15,2075.53
SHA3-256,30,1000,1048576,16,2077.3
SHA3-256,30,1000,1048576,17,2079.6
SHA3-256,30,1000,1048576,18,2081.29
SHA3-256,30,1000,1048576,19,2085.58
SHA3-256,30,1000,1048576,20,2090.67
SHA3-256,30,1000,1048576,21,2092.92
SHA3-256,30,1000,1048576,22,2093.79
SHA3-256,30,1000,1048576,23,2093.81
SHA3-256,30,1000,1048576,24,2094.23
SHA3-256,30,1000,1048576,25,2094.47
SHA3-256,30,1000,1048576,26,2097.16
SHA3-256,30,1000,1048576,27,2105.64
SHA3-256,30,1000,1048576,28,2113.02
SHA3-256,30,1000,1048576,29,2127.43
# summary,mean,2076.25,median,2075.53,sd,22.1334,ci95_lo,2068.33,ci95_hi,2084.17,throughput_MiBps,481.638
