algo,N,block,msg_size,round,us_per_op
SHA3-256,30,1000,52428800,0,102085
SHA3-256,30,1000,52428800,1,102211
SHA3-256,30,1000,52428800,2,102219
SHA3-256,30,1000,52428800,3,102290
SHA3-256,30,1000,52428800,4,102294
SHA3-256,30,1000,52428800,5,102442
SHA3-256,30,1000,52428800,6,102665
SHA3-256,30,1000,52428800,7,102693
SHA3-256,30,1000,52428800,8,102735
SHA3-256,30,1000,52428800,9,102740
SHA3-256,30,1000,52428800,10,102745
SHA3-256,30,1000,52428800,11,102852
SHA3-256,30,1000,52428800,12,102869
SHA3-256,30,1000,52428800,13,102892
SHA3-256,30,1000,52428800,14,102902
SHA3-256,30,1000,52428800,15,102917
SHA3-256,30,1000,52428800,16,102973
SHA3-256,30,1000,52428800,17,103103
SHA3-256,30,1000,52428800,18,103195
SHA3-256,30,1000,52428800,19,103197
SHA3-256,30,1000,52428800,20,103288
SHA3-256,30,1000,52428800,21,103591
SHA3-256,30,1000,52428800,22,103642
SHA3-256,30,1000,52428800,23,103944
SHA3-256,30,1000,52428800,24,104019
SHA3-256,30,1000,52428800,25,104031
SHA3-256,30,1000,52428800,26,104063
SHA3-256,30,1000,52428800,27,104113
SHA3-256,30,1000,52428800,28,104159
SHA3-256,30,1000,52428800,29,104389
# summary,mean,103109,median,102917,sd,671.468,ci95_lo,102868,ci95_hi,103349,throughput_MiBps,484.925
