algo,N,block,msg_size,round,us_per_op
SHA-512,30,1000,8388608,0,14349.8
SHA-512,30,1000,8388608,1,14517.8
SHA-512,30,1000,8388608,2,14557.1
SHA-512,30,1000,8388608,3,14691.3
SHA-512,30,1000,8388608,4,14696
SHA-512,30,1000,8388608,5,14701.7
SHA-512,30,1000,8388608,6,14709.5
SHA-512,30,1000,8388608,7,14723.4
SHA-512,30,1000,8388608,8,14763.8
SHA-512,30,1000,8388608,9,14820
SHA-512,30,1000,8388608,10,14829.1
SHA-512,30,1000,8388608,11,14836.1
SHA-512,30,1000,8388608,12,14849.2
SHA-512,30,1000,8388608,13,14857.7
SHA-512,30,1000,8388608,14,14888.9
SHA-512,30,1000,8388608,15,14889.9
SHA-512,30,1000,8388608,16,14890.9
SHA-512,30,1000,8388608,17,14903.9
SHA-512,30,1000,8388608,18,14909
SHA-512,30,1000,8388608,19,14969.2
SHA-512,30,1000,8388608,20,14988.3
SHA-512,30,1000,8388608,21,15104.6
SHA-512,30,1000,8388608,22,15143.7
SHA-512,30,1000,8388608,23,15166.2
SHA-512,30,1000,8388608,24,15396.7
SHA-512,30,1000,8388608,25,15450.1
SHA-512,30,1000,8388608,26,15566.5
SHA-512,30,1000,8388608,27,15694.2
SHA-512,30,1000,8388608,28,15786.1
SHA-512,30,1000,8388608,29,16021.6
# summary,mean,14989.1,median,14889.9,sd,390.015,ci95_lo,14849.5,ci95_hi,15128.6,throughput_MiBps,533.722
