algo,N,block,msg_size,round,us_per_op
SHA3-512,30,1000,52428800,0,186038
SHA3-512,30,1000,52428800,1,186640
SHA3-512,30,1000,52428800,2,187892
SHA3-512,30,1000,52428800,3,188335
SHA3-512,30,1000,52428800,4,188432
SHA3-512,30,1000,52428800,5,188792
SHA3-512,30,1000,52428800,6,189112
SHA3-512,30,1000,52428800,7,190061
SHA3-512,30,1000,52428800,8,190203
SHA3-512,30,1000,52428800,9,191044
SHA3-512,30,1000,52428800,10,191117
SHA3-512,30,1000,52428800,11,193606
SHA3-512,30,1000,52428800,12,195089
SHA3-512,30,1000,52428800,13,235058
SHA3-512,30,1000,52428800,14,235885
SHA3-512,30,1000,52428800,15,236082
SHA3-512,30,1000,52428800,16,236298
SHA3-512,30,1000,52428800,17,236747
SHA3-512,30,1000,52428800,18,236855
SHA3-512,30,1000,52428800,19,237231
SHA3-512,30,1000,52428800,20,237344
SHA3-512,30,1000,52428800,21,237988
SHA3-512,30,1000,52428800,22,238108
SHA3-512,30,1000,52428800,23,238118
SHA3-512,30,1000,52428800,24,238407
SHA3-512,30,1000,52428800,25,239052
SHA3-512,30,1000,52428800,26,239784
SHA3-512,30,1000,52428800,27,240050
SHA3-512,30,1000,52428800,28,242628
SHA3-512,30,1000,52428800,29,243065
# summary,mean,217169,median,236082,sd,24524.8,ci95_lo,208393,ci95_hi,225945,throughput_MiBps,230.236
