algo,N,block,msg_size,round,us_per_op
SHA3-256,30,1000,8388608,0,16388.3
SHA3-256,30,1000,8388608,1,16491
SHA3-256,30,1000,8388608,2,16508.7
SHA3-256,30,1000,8388608,3,16534.8
SHA3-256,30,1000,8388608,4,16584.5
SHA3-256,30,1000,8388608,5,16593
SHA3-256,30,1000,8388608,6,16598.2
SHA3-256,30,1000,8388608,7,16602.1
SHA3-256,30,1000,8388608,8,16615.1
SHA3-256,30,1000,8388608,9,16629.3
SHA3-256,30,1000,8388608,10,16631.8
SHA3-256,30,1000,8388608,11,16636.2
SHA3-256,30,1000,8388608,12,16644.8
SHA3-256,30,1000,8388608,13,16646.6
SHA3-256,30,1000,8388608,14,16647.1
SHA3-256,30,1000,8388608,15,16657
SHA3-256,30,1000,8388608,16,16661.1
SHA3-256,30,1000,8388608,17,16677.3
SHA3-256,30,1000,8388608,18,16680.6
SHA3-256,30,1000,8388608,19,16686.1
SHA3-256,30,1000,8388608,20,16698.8
SHA3-256,30,1000,8388608,21,16699.1
SHA3-256,30,1000,8388608,22,16714.6
SHA3-256,30,1000,8388608,23,16735
SHA3-256,30,1000,8388608,24,16742.1
SHA3-256,30,1000,8388608,25,16746.2
SHA3-256,30,1000,8388608,26,16750.5
SHA3-256,30,1000,8388608,27,16750.7
SHA3-256,30,1000,8388608,28,16787.1
SHA3-256,30,1000,8388608,29,16807.9
# summary,mean,16651.5,median,16657,sd,91.4776,ci95_lo,16618.8,ci95_hi,16684.3,throughput_MiBps,480.437
