op,algo,N,block,round,us_per_op
encaps,mlkem-512,30,1000,0,9063.08
encaps,mlkem-512,30,1000,1,9125.36
encaps,mlkem-512,30,1000,2,9299.14
encaps,mlkem-512,30,1000,3,9332.77
encaps,mlkem-512,30,1000,4,9413.24
encaps,mlkem-512,30,1000,5,9442.62
encaps,mlkem-512,30,1000,6,9444.96
encaps,mlkem-512,30,1000,7,9491.5
encaps,mlkem-512,30,1000,8,9558.14
encaps,mlkem-512,30,1000,9,9680.72
encaps,mlkem-512,30,1000,10,9694.57
encaps,mlkem-512,30,1000,11,9696.83
encaps,mlkem-512,30,1000,12,9705.97
encaps,mlkem-512,30,1000,13,9706.08
encaps,mlkem-512,30,1000,14,9709.43
encaps,mlkem-512,30,1000,15,9710.87
encaps,mlkem-512,30,1000,16,9767.8
encaps,mlkem-512,30,1000,17,9768.38
encaps,mlkem-512,30,1000,18,9806.97
encaps,mlkem-512,30,1000,19,9828.06
encaps,mlkem-512,30,1000,20,9842.53
encaps,mlkem-512,30,1000,21,9914.79
encaps,mlkem-512,30,1000,22,9948.05
encaps,mlkem-512,30,1000,23,10015.1
encaps,mlkem-512,30,1000,24,10041.2
encaps,mlkem-512,30,1000,25,10065.1
encaps,mlkem-512,30,1000,26,10083.6
encaps,mlkem-512,30,1000,27,10130.4
encaps,mlkem-512,30,1000,28,10428.5
encaps,mlkem-512,30,1000,29,10535.3
# summary,mean,9741.71,median,9710.87,sd,338.968,ci95_lo,9620.41,ci95_hi,9863
