op,algo,N,block,msg_size,round,us_per_op
verify,mldsa-44,30,1000,1048576,0,2367.82
verify,mldsa-44,30,1000,1048576,1,2623.28
verify,mldsa-44,30,1000,1048576,2,2654.7
verify,mldsa-44,30,1000,1048576,3,2662.67
verify,mldsa-44,30,1000,1048576,4,2698.9
verify,mldsa-44,30,1000,1048576,5,2716.93
verify,mldsa-44,30,1000,1048576,6,2771.74
verify,mldsa-44,30,1000,1048576,7,2776.69
verify,mldsa-44,30,1000,1048576,8,2789.15
verify,mldsa-44,30,1000,1048576,9,2790.14
verify,mldsa-44,30,1000,1048576,10,2794.36
verify,mldsa-44,30,1000,1048576,11,2806.61
verify,mldsa-44,30,1000,1048576,12,2826.07
verify,mldsa-44,30,1000,1048576,13,2828.9
verify,mldsa-44,30,1000,1048576,14,2883.75
verify,mldsa-44,30,1000,1048576,15,2887.24
verify,mldsa-44,30,1000,1048576,16,2890.98
verify,mldsa-44,30,1000,1048576,17,2894.45
verify,mldsa-44,30,1000,1048576,18,2903.64
verify,mldsa-44,30,1000,1048576,19,2912.69
verify,mldsa-44,30,1000,1048576,20,2915.54
verify,mldsa-44,30,1000,1048576,21,2942.61
verify,mldsa-44,30,1000,1048576,22,2950.27
verify,mldsa-44,30,1000,1048576,23,2957.68
verify,mldsa-44,30,1000,1048576,24,2964.27
verify,mldsa-44,30,1000,1048576,25,3004.54
verify,mldsa-44,30,1000,1048576,26,3013.65
verify,mldsa-44,30,1000,1048576,27,3123.85
verify,mldsa-44,30,1000,1048576,28,3169.04
verify,mldsa-44,30,1000,1048576,29,3243.87
# summary,mean,2858.87,median,2887.24,sd,172.531,ci95_lo,2797.13,ci95_hi,2920.61
