op,algo,N,block,round,us_per_op
encaps,mlkem-768,30,1000,0,8895.46
encaps,mlkem-768,30,1000,1,9007.75
encaps,mlkem-768,30,1000,2,9187.77
encaps,mlkem-768,30,1000,3,9203.34
encaps,mlkem-768,30,1000,4,9218.34
encaps,mlkem-768,30,1000,5,9484.33
encaps,mlkem-768,30,1000,6,9520.56
encaps,mlkem-768,30,1000,7,9531.21
encaps,mlkem-768,30,1000,8,9534.17
encaps,mlkem-768,30,1000,9,9546.16
encaps,mlkem-768,30,1000,10,9550.21
encaps,mlkem-768,30,1000,11,9552.86
encaps,mlkem-768,30,1000,12,9602
encaps,mlkem-768,30,1000,13,9620.67
encaps,mlkem-768,30,1000,14,9627.95
encaps,mlkem-768,30,1000,15,9649
encaps,mlkem-768,30,1000,16,9653.59
encaps,mlkem-768,30,1000,17,9729.81
encaps,mlkem-768,30,1000,18,9751.19
encaps,mlkem-768,30,1000,19,9751.58
encaps,mlkem-768,30,1000,20,9814.92
encaps,mlkem-768,30,1000,21,9877.72
encaps,mlkem-768,30,1000,22,9877.95
encaps,mlkem-768,30,1000,23,9947.64
encaps,mlkem-768,30,1000,24,9977.42
encaps,mlkem-768,30,1000,25,9993.56
encaps,mlkem-768,30,1000,26,10045.2
encaps,mlkem-768,30,1000,27,10152.8
encaps,mlkem-768,30,1000,28,10188.4
encaps,mlkem-768,30,1000,29,10726.5
# summary,mean,9674,median,9649,sd,371.347,ci95_lo,9541.12,ci95_hi,9806.89
