op,algo,N,block,round,us_per_op
keygen,mlkem-512,30,1000,0,10194.6
keygen,mlkem-512,30,1000,1,10305.6
keygen,mlkem-512,30,1000,2,10474.5
keygen,mlkem-512,30,1000,3,10519.1
keygen,mlkem-512,30,1000,4,10567.7
keygen,mlkem-512,30,1000,5,10574.7
keygen,mlkem-512,30,1000,6,10634.6
keygen,mlkem-512,30,1000,7,10670.4
keygen,mlkem-512,30,1000,8,10681.3
keygen,mlkem-512,30,1000,9,10700
keygen,mlkem-512,30,1000,10,10729.2
keygen,mlkem-512,30,1000,11,10757.3
keygen,mlkem-512,30,1000,12,10769.5
keygen,mlkem-512,30,1000,13,10798.2
keygen,mlkem-512,30,1000,14,10804.8
keygen,mlkem-512,30,1000,15,10815.5
keygen,mlkem-512,30,1000,16,10816.8
keygen,mlkem-512,30,1000,17,10820.7
keygen,mlkem-512,30,1000,18,10823.2
keygen,mlkem-512,30,1000,19,10828.6
keygen,mlkem-512,30,1000,20,10840.4
keygen,mlkem-512,30,1000,21,10842.7
keygen,mlkem-512,30,1000,22,10843
keygen,mlkem-512,30,1000,23,10856.9
keygen,mlkem-512,30,1000,24,10902.6
keygen,mlkem-512,30,1000,25,10930.8
keygen,mlkem-512,30,1000,26,10965.1
keygen,mlkem-512,30,1000,27,10974.1
keygen,mlkem-512,30,1000,28,10979.7
keygen,mlkem-512,30,1000,29,11107
# summary,mean,10751,median,10815.5,sd,197.133,ci95_lo,10680.4,ci95_hi,10821.5
