op,algo,N,block,round,us_per_op
keygen,mlkem-768,30,1000,0,10273.8
keygen,mlkem-768,30,1000,1,10377.1
keygen,mlkem-768,30,1000,2,10380.4
keygen,mlkem-768,30,1000,3,10422
keygen,mlkem-768,30,1000,4,10466.4
keygen,mlkem-768,30,1000,5,10625.5
keygen,mlkem-768,30,1000,6,10630.1
keygen,mlkem-768,30,1000,7,10652.9
keygen,mlkem-768,30,1000,8,10660.7
keygen,mlkem-768,30,1000,9,10704.6
keygen,mlkem-768,30,1000,10,10722.5
keygen,mlkem-768,30,1000,11,10739.9
keygen,mlkem-768,30,1000,12,10773.9
keygen,mlkem-768,30,1000,13,10779.7
keygen,mlkem-768,30,1000,14,10782.2
keygen,mlkem-768,30,1000,15,10790.4
keygen,mlkem-768,30,1000,16,10792.9
keygen,mlkem-768,30,1000,17,10793.8
keygen,mlkem-768,30,1000,18,10814.9
keygen,mlkem-768,30,1000,19,10831.9
keygen,mlkem-768,30,1000,20,10873.1
keygen,mlkem-768,30,1000,21,10892.4
keygen,mlkem-768,30,1000,22,10909.4
keygen,mlkem-768,30,1000,23,10915.3
keygen,mlkem-768,30,1000,24,10928.8
keygen,mlkem-768,30,1000,25,11026.3
keygen,mlkem-768,30,1000,26,11057.8
keygen,mlkem-768,30,1000,27,11058.1
keygen,mlkem-768,30,1000,28,11073.3
keygen,mlkem-768,30,1000,29,11087.9
# summary,mean,10761.3,median,10790.4,sd,216.587,ci95_lo,10683.8,ci95_hi,10838.8
