op,algo,N,block,round,us_per_op
decaps,mlkem-768,30,1000,0,304.449
decaps,mlkem-768,30,1000,1,307.73
decaps,mlkem-768,30,1000,2,309.5
decaps,mlkem-768,30,1000,3,316.809
decaps,mlkem-768,30,1000,4,317.062
decaps,mlkem-768,30,1000,5,333.919
decaps,mlkem-768,30,1000,6,336.608
decaps,mlkem-768,30,1000,7,337.792
decaps,mlkem-768,30,1000,8,346.289
decaps,mlkem-768,30,1000,9,348.897
decaps,mlkem-768,30,1000,10,349.29
decaps,mlkem-768,30,1000,11,350.526
decaps,mlkem-768,30,1000,12,352.24
decaps,mlkem-768,30,1000,13,353.534
decaps,mlkem-768,30,1000,14,353.96
decaps,mlkem-768,30,1000,15,355.318
decaps,mlkem-768,30,1000,16,356.103
decaps,mlkem-768,30,1000,17,356.225
decaps,mlkem-768,30,1000,18,358.599
decaps,mlkem-768,30,1000,19,359.726
decaps,mlkem-768,30,1000,20,363.321
decaps,mlkem-768,30,1000,21,365.954
decaps,mlkem-768,30,1000,22,372.538
decaps,mlkem-768,30,1000,23,379.313
decaps,mlkem-768,30,1000,24,386.952
decaps,mlkem-768,30,1000,25,390.658
decaps,mlkem-768,30,1000,26,406.473
decaps,mlkem-768,30,1000,27,413.432
decaps,mlkem-768,30,1000,28,424.579
decaps,mlkem-768,30,1000,29,445.535
# summary,mean,358.444,median,355.318,sd,33.8238,ci95_lo,346.341,ci95_hi,370.548
