op,algo,N,block,round,us_per_op
decaps,mlkem-512,30,1000,0,309.681
decaps,mlkem-512,30,1000,1,310.372
decaps,mlkem-512,30,1000,2,310.63
decaps,mlkem-512,30,1000,3,312.515
decaps,mlkem-512,30,1000,4,312.89
decaps,mlkem-512,30,1000,5,313.312
decaps,mlkem-512,30,1000,6,329.091
decaps,mlkem-512,30,1000,7,335.789
decaps,mlkem-512,30,1000,8,337.371
decaps,mlkem-512,30,1000,9,338.099
decaps,mlkem-512,30,1000,10,338.271
decaps,mlkem-512,30,1000,11,341.763
decaps,mlkem-512,30,1000,12,341.808
decaps,mlkem-512,30,1000,13,342.743
decaps,mlkem-512,30,1000,14,343.851
decaps,mlkem-512,30,1000,15,348.05
decaps,mlkem-512,30,1000,16,349.358
decaps,mlkem-512,30,1000,17,349.947
decaps,mlkem-512,30,1000,18,350.629
decaps,mlkem-512,30,1000,19,350.8
decaps,mlkem-512,30,1000,20,350.858
decaps,mlkem-512,30,1000,21,356.956
decaps,mlkem-512,30,1000,22,358.027
decaps,mlkem-512,30,1000,23,364.474
decaps,mlkem-512,30,1000,24,369.891
decaps,mlkem-512,30,1000,25,375.315
decaps,mlkem-512,30,1000,26,375.7
decaps,mlkem-512,30,1000,27,379.69
decaps,mlkem-512,30,1000,28,382.422
decaps,mlkem-512,30,1000,29,394.982
# summary,mean,345.843,median,348.05,sd,23.2233,ci95_lo,337.532,ci95_hi,354.153
