algo,N,block,msg_size,round,us_per_op
SHA-512,30,1000,104857600,0,152998
SHA-512,30,1000,104857600,1,153179
SHA-512,30,1000,104857600,2,153276
SHA-512,30,1000,104857600,3,153710
SHA-512,30,1000,104857600,4,154287
SHA-512,30,1000,104857600,5,154633
SHA-512,30,1000,104857600,6,154665
SHA-512,30,1000,104857600,7,155018
SHA-512,30,1000,104857600,8,155471
SHA-512,30,1000,104857600,9,155624
SHA-512,30,1000,104857600,10,155778
SHA-512,30,1000,104857600,11,155941
SHA-512,30,1000,104857600,12,156112
SHA-512,30,1000,104857600,13,156165
SHA-512,30,1000,104857600,14,156955
SHA-512,30,1000,104857600,15,157159
SHA-512,30,1000,104857600,16,157435
SHA-512,30,1000,104857600,17,157463
SHA-512,30,1000,104857600,18,157559
SHA-512,30,1000,104857600,19,157627
SHA-512,30,1000,104857600,20,157673
SHA-512,30,1000,104857600,21,158086
SHA-512,30,1000,104857600,22,158378
SHA-512,30,1000,104857600,23,158654
SHA-512,30,1000,104857600,24,158947
SHA-512,30,1000,104857600,25,159030
SHA-512,30,1000,104857600,26,159609
SHA-512,30,1000,104857600,27,160297
SHA-512,30,1000,104857600,28,162901
SHA-512,30,1000,104857600,29,163133
# summary,mean,156925,median,157159,sd,2568.01,ci95_lo,156007,ci95_hi,157844,throughput_MiBps,637.245
