algo,N,block,msg_size,round,us_per_op
SHA-256,30,1000,52428800,0,23293.2
SHA-256,30,1000,52428800,1,23295.2
SHA-256,30,1000,52428800,2,23414.7
SHA-256,30,1000,52428800,3,23432.9
SHA-256,30,1000,52428800,4,23444.5
SHA-256,30,1000,52428800,5,23524.9
SHA-256,30,1000,52428800,6,23552.6
SHA-256,30,1000,52428800,7,23715.2
SHA-256,30,1000,52428800,8,23810.2
SHA-256,30,1000,52428800,9,23823.5
SHA-256,30,1000,52428800,10,23872.9
SHA-256,30,1000,52428800,11,24099.7
SHA-256,30,1000,52428800,12,24232.4
SHA-256,30,1000,52428800,13,24235.6
SHA-256,30,1000,52428800,14,24489.4
SHA-256,30,1000,52428800,15,24556.8
SHA-256,30,1000,52428800,16,24672.8
SHA-256,30,1000,52428800,17,24764.9
SHA-256,30,1000,52428800,18,24828.7
SHA-256,30,1000,52428800,19,24900.5
SHA-256,30,1000,52428800,20,25135.7
SHA-256,30,1000,52428800,21,25355.4
SHA-256,30,1000,52428800,22,25408
SHA-256,30,1000,52428800,23,25428.7
SHA-256,30,1000,52428800,24,25444.9
SHA-256,30,1000,52428800,25,25505.5
SHA-256,30,1000,52428800,26,25681.5
SHA-256,30,1000,52428800,27,25781.7
SHA-256,30,1000,52428800,28,25799.6
SHA-256,30,1000,52428800,29,25845.5
# summary,mean,24511.6,median,24556.8,sd,872.249,ci95_lo,24199.4,ci95_hi,24823.7,throughput_MiBps,2039.85
