algo,N,block,msg_size,round,us_per_op
SHA-256,30,1000,104857600,0,47133
SHA-256,30,1000,104857600,1,49826
SHA-256,30,1000,104857600,2,52157
SHA-256,30,1000,104857600,3,52157.6
SHA-256,30,1000,104857600,4,52196.5
SHA-256,30,1000,104857600,5,52223.1
SHA-256,30,1000,104857600,6,52232.1
SHA-256,30,1000,104857600,7,52279.8
SHA-256,30,1000,104857600,8,52315.3
SHA-256,30,1000,104857600,9,52316.3
SHA-256,30,1000,104857600,10,52363.5
SHA-256,30,1000,104857600,11,52480.9
SHA-256,30,1000,104857600,12,52521.8
SHA-256,30,1000,104857600,13,52545.6
SHA-256,30,1000,104857600,14,52638.2
SHA-256,30,1000,104857600,15,52908.3
SHA-256,30,1000,104857600,16,53437.9
SHA-256,30,1000,104857600,17,53466.1
SHA-256,30,1000,104857600,18,53514.8
SHA-256,30,1000,104857600,19,53528.9
SHA-256,30,1000,104857600,20,53534.7
SHA-256,30,1000,104857600,21,53571.1
SHA-256,30,1000,104857600,22,53612.4
SHA-256,30,1000,104857600,23,53615.2
SHA-256,30,1000,104857600,24,53633
SHA-256,30,1000,104857600,25,53637.3
SHA-256,30,1000,104857600,26,53638.4
SHA-256,30,1000,104857600,27,53645.5
SHA-256,30,1000,104857600,28,53684.9
SHA-256,30,1000,104857600,29,53723.3
# summary,mean,52684.6,median,52908.3,sd,1344.43,ci95_lo,52203.5,ci95_hi,53165.7,throughput_MiBps,1898.09
