algo,N,block,msg_size,round,us_per_op
SHA-512,30,1000,52428800,0,75679.7
SHA-512,30,1000,52428800,1,75984.2
SHA-512,30,1000,52428800,2,76216.5
SHA-512,30,1000,52428800,3,76451.5
SHA-512,30,1000,52428800,4,77458.2
SHA-512,30,1000,52428800,5,77759.5
SHA-512,30,1000,52428800,6,78931.9
SHA-512,30,1000,52428800,7,79269.6
SHA-512,30,1000,52428800,8,79415.3
SHA-512,30,1000,52428800,9,79634.7
SHA-512,30,1000,52428800,10,79911.6
SHA-512,30,1000,52428800,11,80036.7
SHA-512,30,1000,52428800,12,80602
SHA-512,30,1000,52428800,13,81029.4
SHA-512,30,1000,52428800,14,81055.3
SHA-512,30,1000,52428800,15,81074.1
SHA-512,30,1000,52428800,16,81164.6
SHA-512,30,1000,52428800,17,81371.1
SHA-512,30,1000,52428800,18,81396.9
SHA-512,30,1000,52428800,19,81477.1
SHA-512,30,1000,52428800,20,81676.7
SHA-512,30,1000,52428800,21,81769.1
SHA-512,30,1000,52428800,22,81815.4
SHA-512,30,1000,52428800,23,81929.2
SHA-512,30,1000,52428800,24,82385.8
SHA-512,30,1000,52428800,25,82820.8
SHA-512,30,1000,52428800,26,83771
SHA-512,30,1000,52428800,27,83909.5
SHA-512,30,1000,52428800,28,84031.4
SHA-512,30,1000,52428800,29,84488.5
# summary,mean,80483.9,median,81074.1,sd,2434.55,ci95_lo,79612.7,ci95_hi,81355.1,throughput_MiBps,621.242
