algo,N,block,msg_size,round,us_per_op
SHA3-256,30,1000,104857600,0,258592
SHA3-256,30,1000,104857600,1,259275
SHA3-256,30,1000,104857600,2,262036
SHA3-256,30,1000,104857600,3,262647
SHA3-256,30,1000,104857600,4,265455
SHA3-256,30,1000,104857600,5,266886
SHA3-256,30,1000,104857600,6,267157
SHA3-256,30,1000,104857600,7,269744
SHA3-256,30,1000,104857600,8,270823
SHA3-256,30,1000,104857600,9,272558
SHA3-256,30,1000,104857600,10,274229
SHA3-256,30,1000,104857600,11,276582
SHA3-256,30,1000,104857600,12,276885
SHA3-256,30,1000,104857600,13,278971
SHA3-256,30,1000,104857600,14,279956
SHA3-256,30,1000,104857600,15,281373
SHA3-256,30,1000,104857600,16,281437
SHA3-256,30,1000,104857600,17,281528
SHA3-256,30,1000,104857600,18,281642
SHA3-256,30,1000,104857600,19,282195
SHA3-256,30,1000,104857600,20,283061
SHA3-256,30,1000,104857600,21,285823
SHA3-256,30,1000,104857600,22,289763
SHA3-256,30,1000,104857600,23,290891
SHA3-256,30,1000,104857600,24,291406
SHA3-256,30,1000,104857600,25,293905
SHA3-256,30,1000,104857600,26,294027
SHA3-256,30,1000,104857600,27,296183
SHA3-256,30,1000,104857600,28,297483
SHA3-256,30,1000,104857600,29,301986
# summary,mean,279150,median,281373,sd,12007.3,ci95_lo,274853,ci95_hi,283447,throughput_MiBps,358.23
