algo,N,block,msg_size,round,us_per_op
SHA3-512,30,1000,52428800,0,242901
SHA3-512,30,1000,52428800,1,245401
SHA3-512,30,1000,52428800,2,247246
SHA3-512,30,1000,52428800,3,247649
SHA3-512,30,1000,52428800,4,247853
SHA3-512,30,1000,52428800,5,248984
SHA3-512,30,1000,52428800,6,249842
SHA3-512,30,1000,52428800,7,250981
SHA3-512,30,1000,52428800,8,251844
SHA3-512,30,1000,52428800,9,252813
SHA3-512,30,1000,52428800,10,253125
SHA3-512,30,1000,52428800,11,253997
SHA3-512,30,1000,52428800,12,254497
SHA3-512,30,1000,52428800,13,254627
SHA3-512,30,1000,52428800,14,255511
SHA3-512,30,1000,52428800,15,255763
SHA3-512,30,1000,52428800,16,257170
SHA3-512,30,1000,52428800,17,258063
SHA3-512,30,1000,52428800,18,260157
SHA3-512,30,1000,52428800,19,261126
SHA3-512,30,1000,52428800,20,261174
SHA3-512,30,1000,52428800,21,261362
SHA3-512,30,1000,52428800,22,262421
SHA3-512,30,1000,52428800,23,263425
SHA3-512,30,1000,52428800,24,263556
SHA3-512,30,1000,52428800,25,266157
SHA3-512,30,1000,52428800,26,266235
SHA3-512,30,1000,52428800,27,267650
SHA3-512,30,1000,52428800,28,276186
SHA3-512,30,1000,52428800,29,278957
# summary,mean,257223,median,255763,sd,8599.49,ci95_lo,254145,ci95_hi,260300,throughput_MiBps,194.384
