algo,N,block,msg_size,round,us_per_op
SHA3-512,30,1000,8388608,0,38606.7
SHA3-512,30,1000,8388608,1,38766
SHA3-512,30,1000,8388608,2,38767.9
SHA3-512,30,1000,8388608,3,38768.2
SHA3-512,30,1000,8388608,4,38791.5
SHA3-512,30,1000,8388608,5,38832.5
SHA3-512,30,1000,8388608,6,38953.2
SHA3-512,30,1000,8388608,7,39083.2
SHA3-512,30,1000,8388608,8,39093.8
SHA3-512,30,1000,8388608,9,39178.6
SHA3-512,30,1000,8388608,10,39256.5
SHA3-512,30,1000,8388608,11,39436.2
SHA3-512,30,1000,8388608,12,40254.5
SHA3-512,30,1000,8388608,13,40657.5
SHA3-512,30,1000,8388608,14,40826.8
SHA3-512,30,1000,8388608,15,40832.2
SHA3-512,30,1000,8388608,16,41324.5
SHA3-512,30,1000,8388608,17,41500.1
SHA3-512,30,1000,8388608,18,41535.6
SHA3-512,30,1000,8388608,19,42251.7
SHA3-512,30,1000,8388608,20,43124.1
SHA3-512,30,1000,8388608,21,43380.4
SHA3-512,30,1000,8388608,22,44850.6
SHA3-512,30,1000,8388608,23,44864.8
SHA3-512,30,1000,8388608,24,44886.4
SHA3-512,30,1000,8388608,25,45056
SHA3-512,30,1000,8388608,26,45060.7
SHA3-512,30,1000,8388608,27,45090.3
SHA3-512,30,1000,8388608,28,45147.6
SHA3-512,30,1000,8388608,29,45263.5
# summary,mean,41448.1,median,40832.2,sd,2543.23,ci95_lo,40538,ci95_hi,42358.1,throughput_MiBps,193.013
