op,algo,N,block,msg_size,round,us_per_op
sign,ecdsa-p256,30,1000,8388608,0,5350.7
sign,ecdsa-p256,30,1000,8388608,1,5065.34
sign,ecdsa-p256,30,1000,8388608,2,4894.24
sign,ecdsa-p256,30,1000,8388608,3,4886.69
sign,ecdsa-p256,30,1000,8388608,4,4916.29
sign,ecdsa-p256,30,1000,8388608,5,4946.38
sign,ecdsa-p256,30,1000,8388608,6,4754.19
sign,ecdsa-p256,30,1000,8388608,7,4770.27
sign,ecdsa-p256,30,1000,8388608,8,4764.66
sign,ecdsa-p256,30,1000,8388608,9,5093.28
sign,ecdsa-p256,30,1000,8388608,10,5115.12
sign,ecdsa-p256,30,1000,8388608,11,4982.47
sign,ecdsa-p256,30,1000,8388608,12,5110.22
sign,ecdsa-p256,30,1000,8388608,13,5506.81
sign,ecdsa-p256,30,1000,8388608,14,5476.52
sign,ecdsa-p256,30,1000,8388608,15,5519.41
sign,ecdsa-p256,30,1000,8388608,16,5458.79
sign,ecdsa-p256,30,1000,8388608,17,5278.9
sign,ecdsa-p256,30,1000,8388608,18,5283.1
sign,ecdsa-p256,30,1000,8388608,19,5260.75
sign,ecdsa-p256,30,1000,8388608,20,5298.33
sign,ecdsa-p256,30,1000,8388608,21,5279.52
sign,ecdsa-p256,30,1000,8388608,22,5212.15
sign,ecdsa-p256,30,1000,8388608,23,5083.23
sign,ecdsa-p256,30,1000,8388608,24,5277.03
sign,ecdsa-p256,30,1000,8388608,25,5262.8
sign,ecdsa-p256,30,1000,8388608,26,5257.6
sign,ecdsa-p256,30,1000,8388608,27,5485.74
sign,ecdsa-p256,30,1000,8388608,28,5501.69
sign,ecdsa-p256,30,1000,8388608,29,5203.4
# summary,mean,5176.52,median,5234.88,sd,233.396,ci95_lo,5093,ci95_hi,5260.04
