op,algo,N,block,msg_size,round,us_per_op
verify,ecdsa-p384,30,1000,1048576,0,2071.32
verify,ecdsa-p384,30,1000,1048576,1,2058.79
verify,ecdsa-p384,30,1000,1048576,2,2066.18
verify,ecdsa-p384,30,1000,1048576,3,2078.31
verify,ecdsa-p384,30,1000,1048576,4,2146.83
verify,ecdsa-p384,30,1000,1048576,5,2145.94
verify,ecdsa-p384,30,1000,1048576,6,2142.31
verify,ecdsa-p384,30,1000,1048576,7,2253.82
verify,ecdsa-p384,30,1000,1048576,8,2270.52
verify,ecdsa-p384,30,1000,1048576,9,2177.5
verify,ecdsa-p384,30,1000,1048576,10,2055.15
verify,ecdsa-p384,30,1000,1048576,11,2122
verify,ecdsa-p384,30,1000,1048576,12,2116.09
verify,ecdsa-p384,30,1000,1048576,13,2111.68
verify,ecdsa-p384,30,1000,1048576,14,2060.95
verify,ecdsa-p384,30,1000,1048576,15,2026.79
verify,ecdsa-p384,30,1000,1048576,16,2038.83
verify,ecdsa-p384,30,1000,1048576,17,2029.37
verify,ecdsa-p384,30,1000,1048576,18,2031.48
verify,ecdsa-p384,30,1000,1048576,19,2031.47
verify,ecdsa-p384,30,1000,1048576,20,2034.28
verify,ecdsa-p384,30,1000,1048576,21,2061.14
verify,ecdsa-p384,30,1000,1048576,22,2048.63
verify,ecdsa-p384,30,1000,1048576,23,2037.28
verify,ecdsa-p384,30,1000,1048576,24,2133.42
verify,ecdsa-p384,30,1000,1048576,25,2037.53
verify,ecdsa-p384,30,1000,1048576,26,2047.23
verify,ecdsa-p384,30,1000,1048576,27,2035.87
verify,ecdsa-p384,30,1000,1048576,28,2030.89
verify,ecdsa-p384,30,1000,1048576,29,2036.67
# summary,mean,2084.61,median,2059.87,sd,65.0916,ci95_lo,2061.31,ci95_hi,2107.9
