op,bits,N,block,msg_size,hash,round,us_per_op
sign,3072,30,1000,1024,sha256,0,2270.98
sign,3072,30,1000,1024,sha256,1,2413.74
sign,3072,30,1000,1024,sha256,2,2424.16
sign,3072,30,1000,1024,sha256,3,2416.04
sign,3072,30,1000,1024,sha256,4,2411.9
sign,3072,30,1000,1024,sha256,5,2404.61
sign,3072,30,1000,1024,sha256,6,2406.2
sign,3072,30,1000,1024,sha256,7,2404.55
sign,3072,30,1000,1024,sha256,8,2449.6
sign,3072,30,1000,1024,sha256,9,2380.22
sign,3072,30,1000,1024,sha256,10,2245.09
sign,3072,30,1000,1024,sha256,11,2245.94
sign,3072,30,1000,1024,sha256,12,2240.06
sign,3072,30,1000,1024,sha256,13,2249.41
sign,3072,30,1000,1024,sha256,14,2238.37
sign,3072,30,1000,1024,sha256,15,2246.14
sign,3072,30,1000,1024,sha256,16,2236.1
sign,3072,30,1000,1024,sha256,17,2234.18
sign,3072,30,1000,1024,sha256,18,2232.94
sign,3072,30,1000,1024,sha256,19,2242.23
sign,3072,30,1000,1024,sha256,20,2240.6
sign,3072,30,1000,1024,sha256,21,2239.23
sign,3072,30,1000,1024,sha256,22,2263.72
sign,3072,30,1000,1024,sha256,23,2243.34
sign,3072,30,1000,1024,sha256,24,2250.26
sign,3072,30,1000,1024,sha256,25,2236.29
sign,3072,30,1000,1024,sha256,26,2237.38
sign,3072,30,1000,1024,sha256,27,2239
sign,3072,30,1000,1024,sha256,28,2243.61
sign,3072,30,1000,1024,sha256,29,2241.08
# summary,mean,2294.23,median,2245.51,sd,79.6027,ci95_lo,2265.75,ci95_hi,2322.72
