op,bits,N,block,msg_size,hash,round,us_per_op
verify,4096,30,1000,1048576,sha256,0,830.532
verify,4096,30,1000,1048576,sha256,1,857.685
verify,4096,30,1000,1048576,sha256,2,904.576
verify,4096,30,1000,1048576,sha256,3,851.502
verify,4096,30,1000,1048576,sha256,4,839.931
verify,4096,30,1000,1048576,sha256,5,834.218
verify,4096,30,1000,1048576,sha256,6,817.734
verify,4096,30,1000,1048576,sha256,7,869.863
verify,4096,30,1000,1048576,sha256,8,820.701
verify,4096,30,1000,1048576,sha256,9,762.468
verify,4096,30,1000,1048576,sha256,10,754.16
verify,4096,30,1000,1048576,sha256,11,754.2
verify,4096,30,1000,1048576,sha256,12,751.957
verify,4096,30,1000,1048576,sha256,13,815.899
verify,4096,30,1000,1048576,sha256,14,786.068
verify,4096,30,1000,1048576,sha256,15,743.761
verify,4096,30,1000,1048576,sha256,16,740.198
verify,4096,30,1000,1048576,sha256,17,755.439
verify,4096,30,1000,1048576,sha256,18,757.774
verify,4096,30,1000,1048576,sha256,19,756.944
verify,4096,30,1000,1048576,sha256,20,765.123
verify,4096,30,1000,1048576,sha256,21,753.116
verify,4096,30,1000,1048576,sha256,22,741.605
verify,4096,30,1000,1048576,sha256,23,745.012
verify,4096,30,1000,1048576,sha256,24,743.971
verify,4096,30,1000,1048576,sha256,25,741.395
verify,4096,30,1000,1048576,sha256,26,750.105
verify,4096,30,1000,1048576,sha256,27,752.917
verify,4096,30,1000,1048576,sha256,28,744.405
verify,4096,30,1000,1048576,sha256,29,742.955
# summary,mean,782.874,median,756.191,sd,47.5742,ci95_lo,765.85,ci95_hi,799.898
