op,algo,N,block,msg_size,round,us_per_op
verify,ecdsa-p256,30,1000,8388608,0,5221.79
verify,ecdsa-p256,30,1000,8388608,1,5444.33
verify,ecdsa-p256,30,1000,8388608,2,5018.42
verify,ecdsa-p256,30,1000,8388608,3,5147.89
verify,ecdsa-p256,30,1000,8388608,4,5161.4
verify,ecdsa-p256,30,1000,8388608,5,5144.7
verify,ecdsa-p256,30,1000,8388608,6,5142.16
verify,ecdsa-p256,30,1000,8388608,7,5131.95
verify,ecdsa-p256,30,1000,8388608,8,5185.3
verify,ecdsa-p256,30,1000,8388608,9,5157.46
verify,ecdsa-p256,30,1000,8388608,10,5145.58
verify,ecdsa-p256,30,1000,8388608,11,5145.6
verify,ecdsa-p256,30,1000,8388608,12,5204.17
verify,ecdsa-p256,30,1000,8388608,13,5235.21
verify,ecdsa-p256,30,1000,8388608,14,5232.67
verify,ecdsa-p256,30,1000,8388608,15,5166.95
verify,ecdsa-p256,30,1000,8388608,16,5164.07
verify,ecdsa-p256,30,1000,8388608,17,5161.73
verify,ecdsa-p256,30,1000,8388608,18,5165.06
verify,ecdsa-p256,30,1000,8388608,19,4860.38
verify,ecdsa-p256,30,1000,8388608,20,5033.05
verify,ecdsa-p256,30,1000,8388608,21,5262.41
verify,ecdsa-p256,30,1000,8388608,22,5240.53
verify,ecdsa-p256,30,1000,8388608,23,5228.41
verify,ecdsa-p256,30,1000,8388608,24,5235.91
verify,ecdsa-p256,30,1000,8388608,25,5235.27
verify,ecdsa-p256,30,1000,8388608,26,5270.28
verify,ecdsa-p256,30,1000,8388608,27,5254.31
verify,ecdsa-p256,30,1000,8388608,28,5218.47
verify,ecdsa-p256,30,1000,8388608,29,5066.19
# summary,mean,5176.05,median,5166,sd,99.0899,ci95_lo,5140.6,ci95_hi,5211.51
