op,bits,N,block,msg_size,hash,round,us_per_op
verify,3072,30,1000,1024,sha256,0,292.847
verify,3072,30,1000,1024,sha256,1,294.027
verify,3072,30,1000,1024,sha256,2,292.869
verify,3072,30,1000,1024,sha256,3,292.957
verify,3072,30,1000,1024,sha256,4,293.194
verify,3072,30,1000,1024,sha256,5,293.211
verify,3072,30,1000,1024,sha256,6,293.275
verify,3072,30,1000,1024,sha256,7,293.331
verify,3072,30,1000,1024,sha256,8,292.738
verify,3072,30,1000,1024,sha256,9,294.525
verify,3072,30,1000,1024,sha256,10,292.93
verify,3072,30,1000,1024,sha256,11,293.051
verify,3072,30,1000,1024,sha256,12,292.727
verify,3072,30,1000,1024,sha256,13,293.182
verify,3072,30,1000,1024,sha256,14,294.521
verify,3072,30,1000,1024,sha256,15,294.248
verify,3072,30,1000,1024,sha256,16,293.472
verify,3072,30,1000,1024,sha256,17,293.764
verify,3072,30,1000,1024,sha256,18,294.164
verify,3072,30,1000,1024,sha256,19,293.901
verify,3072,30,1000,1024,sha256,20,299.465
verify,3072,30,1000,1024,sha256,21,296.99
verify,3072,30,1000,1024,sha256,22,295.777
verify,3072,30,1000,1024,sha256,23,293.101
verify,3072,30,1000,1024,sha256,24,293.506
verify,3072,30,1000,1024,sha256,25,293.21
verify,3072,30,1000,1024,sha256,26,292.863
verify,3072,30,1000,1024,sha256,27,293.321
verify,3072,30,1000,1024,sha256,28,292.885
verify,3072,30,1000,1024,sha256,29,292.751
# summary,mean,293.76,median,293.243,sd,1.43015,ci95_lo,293.248,ci95_hi,294.272
