op,algo,N,block,msg_size,round,us_per_op
sign,ecdsa-p256,30,1000,1048576,0,936.727
sign,ecdsa-p256,30,1000,1048576,1,939.427
sign,ecdsa-p256,30,1000,1048576,2,933.633
sign,ecdsa-p256,30,1000,1048576,3,933.969
sign,ecdsa-p256,30,1000,1048576,4,933.215
sign,ecdsa-p256,30,1000,1048576,5,933.54
sign,ecdsa-p256,30,1000,1048576,6,933.419
sign,ecdsa-p256,30,1000,1048576,7,933.674
sign,ecdsa-p256,30,1000,1048576,8,931.79
sign,ecdsa-p256,30,1000,1048576,9,932.022
sign,ecdsa-p256,30,1000,1048576,10,930.106
sign,ecdsa-p256,30,1000,1048576,11,963.986
sign,ecdsa-p256,30,1000,1048576,12,948.383
sign,ecdsa-p256,30,1000,1048576,13,932.392
sign,ecdsa-p256,30,1000,1048576,14,934.881
sign,ecdsa-p256,30,1000,1048576,15,932.535
sign,ecdsa-p256,30,1000,1048576,16,931.421
sign,ecdsa-p256,30,1000,1048576,17,988.042
sign,ecdsa-p256,30,1000,1048576,18,1018.34
sign,ecdsa-p256,30,1000,1048576,19,1018.68
sign,ecdsa-p256,30,1000,1048576,20,1016.3
sign,ecdsa-p256,30,1000,1048576,21,1015.68
sign,ecdsa-p256,30,1000,1048576,22,1023.23
sign,ecdsa-p256,30,1000,1048576,23,1015.24
sign,ecdsa-p256,30,1000,1048576,24,1015.53
sign,ecdsa-p256,30,1000,1048576,25,1014.53
sign,ecdsa-p256,30,1000,1048576,26,1011.98
sign,ecdsa-p256,30,1000,1048576,27,1000.78
sign,ecdsa-p256,30,1000,1048576,28,931.232
sign,ecdsa-p256,30,1000,1048576,29,930.43
# summary,mean,963.838,median,935.804,sd,38.6757,ci95_lo,949.998,ci95_hi,977.677
