op,algo,N,block,round,us_per_op
encaps,mlkem-1024,30,1000,0,42.9597
encaps,mlkem-1024,30,1000,1,43.0384
encaps,mlkem-1024,30,1000,2,43.2739
encaps,mlkem-1024,30,1000,3,43.4184
encaps,mlkem-1024,30,1000,4,43.4276
encaps,mlkem-1024,30,1000,5,43.6462
encaps,mlkem-1024,30,1000,6,43.7297
encaps,mlkem-1024,30,1000,7,43.7737
encaps,mlkem-1024,30,1000,8,43.8319
encaps,mlkem-1024,30,1000,9,43.8454
encaps,mlkem-1024,30,1000,10,43.8569
encaps,mlkem-1024,30,1000,11,43.8837
encaps,mlkem-1024,30,1000,12,43.9034
encaps,mlkem-1024,30,1000,13,43.9747
encaps,mlkem-1024,30,1000,14,44.0297
encaps,mlkem-1024,30,1000,15,44.0697
encaps,mlkem-1024,30,1000,16,44.1178
encaps,mlkem-1024,30,1000,17,44.1267
encaps,mlkem-1024,30,1000,18,44.1428
encaps,mlkem-1024,30,1000,19,44.1529
encaps,mlkem-1024,30,1000,20,44.1764
encaps,mlkem-1024,30,1000,21,44.189
encaps,mlkem-1024,30,1000,22,44.1959
encaps,mlkem-1024,30,1000,23,44.2682
encaps,mlkem-1024,30,1000,24,44.2867
encaps,mlkem-1024,30,1000,25,44.3915
encaps,mlkem-1024,30,1000,26,45.1421
encaps,mlkem-1024,30,1000,27,45.3178
encaps,mlkem-1024,30,1000,28,46.8941
encaps,mlkem-1024,30,1000,29,52.3839
# summary,mean,44.3483,median,44.0697,sd,1.68263,ci95_lo,43.7462,ci95_hi,44.9504
