op,algo,N,block,round,us_per_op
keygen,mlkem-768,30,1000,0,42.5939
keygen,mlkem-768,30,1000,1,42.7238
keygen,mlkem-768,30,1000,2,42.7561
keygen,mlkem-768,30,1000,3,42.8823
keygen,mlkem-768,30,1000,4,42.9308
keygen,mlkem-768,30,1000,5,43.0564
keygen,mlkem-768,30,1000,6,43.1105
keygen,mlkem-768,30,1000,7,43.2097
keygen,mlkem-768,30,1000,8,43.3114
keygen,mlkem-768,30,1000,9,43.3752
keygen,mlkem-768,30,1000,10,43.4215
keygen,mlkem-768,30,1000,11,43.5578
keygen,mlkem-768,30,1000,12,43.6479
keygen,mlkem-768,30,1000,13,43.6607
keygen,mlkem-768,30,1000,14,43.6615
keygen,mlkem-768,30,1000,15,43.6863
keygen,mlkem-768,30,1000,16,43.6871
keygen,mlkem-768,30,1000,17,43.6883
keygen,mlkem-768,30,1000,18,43.6957
keygen,mlkem-768,30,1000,19,43.7556
keygen,mlkem-768,30,1000,20,43.7624
keygen,mlkem-768,30,1000,21,43.7899
keygen,mlkem-768,30,1000,22,43.829
keygen,mlkem-768,30,1000,23,43.8873
keygen,mlkem-768,30,1000,24,43.9177
keygen,mlkem-768,30,1000,25,43.9263
keygen,mlkem-768,30,1000,26,44.0117
keygen,mlkem-768,30,1000,27,44.4053
keygen,mlkem-768,30,1000,28,44.4121
keygen,mlkem-768,30,1000,29,44.6118
# summary,mean,43.5655,median,43.6863,sd,0.499882,ci95_lo,43.3866,ci95_hi,43.7444
