op,algo,N,block,round,us_per_op
decaps,mlkem-768,30,1000,0,32.0803
decaps,mlkem-768,30,1000,1,32.1651
decaps,mlkem-768,30,1000,2,32.336
decaps,mlkem-768,30,1000,3,32.3421
decaps,mlkem-768,30,1000,4,32.3962
decaps,mlkem-768,30,1000,5,32.501
decaps,mlkem-768,30,1000,6,32.6128
decaps,mlkem-768,30,1000,7,32.6132
decaps,mlkem-768,30,1000,8,32.6352
decaps,mlkem-768,30,1000,9,32.6765
decaps,mlkem-768,30,1000,10,32.7437
decaps,mlkem-768,30,1000,11,32.7617
decaps,mlkem-768,30,1000,12,32.7935
decaps,mlkem-768,30,1000,13,32.7974
decaps,mlkem-768,30,1000,14,32.9203
decaps,mlkem-768,30,1000,15,32.922
decaps,mlkem-768,30,1000,16,32.9502
decaps,mlkem-768,30,1000,17,32.9563
decaps,mlkem-768,30,1000,18,33.0416
decaps,mlkem-768,30,1000,19,33.0634
decaps,mlkem-768,30,1000,20,33.0827
decaps,mlkem-768,30,1000,21,33.0957
decaps,mlkem-768,30,1000,22,33.1169
decaps,mlkem-768,30,1000,23,33.1361
decaps,mlkem-768,30,1000,24,33.1688
decaps,mlkem-768,30,1000,25,33.2081
decaps,mlkem-768,30,1000,26,33.2417
decaps,mlkem-768,30,1000,27,33.2459
decaps,mlkem-768,30,1000,28,33.2742
decaps,mlkem-768,30,1000,29,33.5062
# summary,mean,32.8462,median,32.922,sd,0.355078,ci95_lo,32.7191,ci95_hi,32.9732
