op,algo,N,block,msg_size,round,us_per_op
sign,mldsa-44,30,1000,16384,0,99.3381
sign,mldsa-44,30,1000,16384,1,99.5903
sign,mldsa-44,30,1000,16384,2,100.192
sign,mldsa-44,30,1000,16384,3,100.265
sign,mldsa-44,30,1000,16384,4,100.318
sign,mldsa-44,30,1000,16384,5,100.319
sign,mldsa-44,30,1000,16384,6,100.501
sign,mldsa-44,30,1000,16384,7,100.613
sign,mldsa-44,30,1000,16384,8,100.638
sign,mldsa-44,30,1000,16384,9,100.674
sign,mldsa-44,30,1000,16384,10,100.716
sign,mldsa-44,30,1000,16384,11,100.867
sign,mldsa-44,30,1000,16384,12,100.92
sign,mldsa-44,30,1000,16384,13,101.203
sign,mldsa-44,30,1000,16384,14,101.298
sign,mldsa-44,30,1000,16384,15,101.737
sign,mldsa-44,30,1000,16384,16,101.77
sign,mldsa-44,30,1000,16384,17,101.819
sign,mldsa-44,30,1000,16384,18,101.916
sign,mldsa-44,30,1000,16384,19,102.007
sign,mldsa-44,30,1000,16384,20,102.039
sign,mldsa-44,30,1000,16384,21,102.05
sign,mldsa-44,30,1000,16384,22,102.081
sign,mldsa-44,30,1000,16384,23,102.089
sign,mldsa-44,30,1000,16384,24,102.276
sign,mldsa-44,30,1000,16384,25,102.495
sign,mldsa-44,30,1000,16384,26,102.974
sign,mldsa-44,30,1000,16384,27,103.204
sign,mldsa-44,30,1000,16384,28,103.323
sign,mldsa-44,30,1000,16384,29,103.741
# summary,mean,101.432,median,101.737,sd,1.11189,ci95_lo,101.035,ci95_hi,101.83
