op,algo,N,block,round,us_per_op
decaps,mlkem-1024,30,1000,0,37.493
decaps,mlkem-1024,30,1000,1,37.5752
decaps,mlkem-1024,30,1000,2,37.7454
decaps,mlkem-1024,30,1000,3,37.8106
decaps,mlkem-1024,30,1000,4,37.8218
decaps,mlkem-1024,30,1000,5,37.9456
decaps,mlkem-1024,30,1000,6,38.0502
decaps,mlkem-1024,30,1000,7,38.0689
decaps,mlkem-1024,30,1000,8,38.0971
decaps,mlkem-1024,30,1000,9,38.101
decaps,mlkem-1024,30,1000,10,38.1404
decaps,mlkem-1024,30,1000,11,38.2713
decaps,mlkem-1024,30,1000,12,38.3107
decaps,mlkem-1024,30,1000,13,38.3361
decaps,mlkem-1024,30,1000,14,38.351
decaps,mlkem-1024,30,1000,15,38.3739
decaps,mlkem-1024,30,1000,16,38.4538
decaps,mlkem-1024,30,1000,17,38.5287
decaps,mlkem-1024,30,1000,18,38.5581
decaps,mlkem-1024,30,1000,19,38.5785
decaps,mlkem-1024,30,1000,20,38.5911
decaps,mlkem-1024,30,1000,21,38.6315
decaps,mlkem-1024,30,1000,22,38.727
decaps,mlkem-1024,30,1000,23,38.7601
decaps,mlkem-1024,30,1000,24,38.801
decaps,mlkem-1024,30,1000,25,38.8358
decaps,mlkem-1024,30,1000,26,38.8685
decaps,mlkem-1024,30,1000,27,38.9152
decaps,mlkem-1024,30,1000,28,39.0781
decaps,mlkem-1024,30,1000,29,39.2618
# summary,mean,38.3694,median,38.3739,sd,0.44508,ci95_lo,38.2101,ci95_hi,38.5287
