op,algo,N,block,round,us_per_op
encaps,mlkem-512,30,1000,0,33.5831
encaps,mlkem-512,30,1000,1,33.9016
encaps,mlkem-512,30,1000,2,33.9653
encaps,mlkem-512,30,1000,3,33.9943
encaps,mlkem-512,30,1000,4,34.0708
encaps,mlkem-512,30,1000,5,34.1202
encaps,mlkem-512,30,1000,6,34.1365
encaps,mlkem-512,30,1000,7,34.1873
encaps,mlkem-512,30,1000,8,34.198
encaps,mlkem-512,30,1000,9,34.2075
encaps,mlkem-512,30,1000,10,34.2116
encaps,mlkem-512,30,1000,11,34.2432
encaps,mlkem-512,30,1000,12,34.248
encaps,mlkem-512,30,1000,13,34.2802
encaps,mlkem-512,30,1000,14,34.3105
encaps,mlkem-512,30,1000,15,34.3398
encaps,mlkem-512,30,1000,16,34.3434
encaps,mlkem-512,30,1000,17,34.3597
encaps,mlkem-512,30,1000,18,34.3696
encaps,mlkem-512,30,1000,19,34.3841
encaps,mlkem-512,30,1000,20,34.4084
encaps,mlkem-512,30,1000,21,34.4462
encaps,mlkem-512,30,1000,22,34.466
encaps,mlkem-512,30,1000,23,34.4983
encaps,mlkem-512,30,1000,24,34.5255
encaps,mlkem-512,30,1000,25,34.534
encaps,mlkem-512,30,1000,26,34.6539
encaps,mlkem-512,30,1000,27,34.8212
encaps,mlkem-512,30,1000,28,34.8546
encaps,mlkem-512,30,1000,29,35.2978
# summary,mean,34.332,median,34.3398,sd,0.31784,ci95_lo,34.2183,ci95_hi,34.4458
