op,algo,N,block,round,us_per_op
keygen,mlkem-1024,30,1000,0,52.183
keygen,mlkem-1024,30,1000,1,52.2391
keygen,mlkem-1024,30,1000,2,52.3465
keygen,mlkem-1024,30,1000,3,52.4204
keygen,mlkem-1024,30,1000,4,52.535
keygen,mlkem-1024,30,1000,5,52.7209
keygen,mlkem-1024,30,1000,6,52.7936
keygen,mlkem-1024,30,1000,7,52.7938
keygen,mlkem-1024,30,1000,8,52.8489
keygen,mlkem-1024,30,1000,9,52.9206
keygen,mlkem-1024,30,1000,10,53.0539
keygen,mlkem-1024,30,1000,11,53.0577
keygen,mlkem-1024,30,1000,12,53.3017
keygen,mlkem-1024,30,1000,13,53.3522
keygen,mlkem-1024,30,1000,14,53.4295
keygen,mlkem-1024,30,1000,15,53.4455
keygen,mlkem-1024,30,1000,16,53.4596
keygen,mlkem-1024,30,1000,17,53.4936
keygen,mlkem-1024,30,1000,18,53.5242
keygen,mlkem-1024,30,1000,19,53.5589
keygen,mlkem-1024,30,1000,20,53.5965
keygen,mlkem-1024,30,1000,21,53.6191
keygen,mlkem-1024,30,1000,22,53.6822
keygen,mlkem-1024,30,1000,23,53.695
keygen,mlkem-1024,30,1000,24,53.7027
keygen,mlkem-1024,30,1000,25,53.789
keygen,mlkem-1024,30,1000,26,53.8259
keygen,mlkem-1024,30,1000,27,53.8962
keygen,mlkem-1024,30,1000,28,54.0787
keygen,mlkem-1024,30,1000,29,55.0443
# summary,mean,53.2803,median,53.4455,sd,0.625304,ci95_lo,53.0565,ci95_hi,53.504
